campaign_id,domain,whitepage_offer_id,adspect_stream_id,white_flow_id,status,error
2032,souverainnoyavex-com,,,,error,Expecting value: line 1 column 1 (char 0)
2031,piorun-kapitura-pl-com,,,,error,Expecting value: line 1 column 1 (char 0)
2030,nexork-system-it-com,,,,error,Expecting value: line 1 column 1 (char 0)
2032,souverainnoyavex-com,2052,163f89ee-b86e-46e1-a242-0f9f378cb0c0,2036,ok,
2031,piorun-kapitura-pl-com,2053,fe3760a8-66f9-49e0-8d2c-61d3f648ecd6,2037,ok,
2030,nexork-system-it-com,2054,23492d6e-8aad-49e5-af43-30c5111d3b0c,2038,ok,
2029,forgecapmoor-com,2055,3d7c1bff-992b-4aa4-b365-cd8b863a49b8,2039,ok,
2048,moor-captron.site,2081,d5c13084-154e-4565-b6ec-9b0d59b16ec3,2062,ok,
2044,nurtowin-pl.com,2082,83e6cefc-31f6-4a89-be44-23bfc1be3a02,2063,ok,
2043,tulonggrow.website,2083,38325f6e-cf43-4b0e-b72e-a7f22ec63535,2064,ok,
2042,vliesrendiburg.site,2084,d4cfb291-933a-45e4-9987-02b59a6e4781,2065,ok,
2041,affilefluxitage.com,2085,216da515-631c-4be1-aa5e-4fe351b4c838,2066,ok,
2040,maximeperraud.site,2086,a6e900fd-4118-4411-b2df-0569751e316b,2067,ok,
1996,mystralaiinvest.website,2087,9246e7e8-47b4-41f6-971a-e6184742de80,2068,ok,
1995,guadefinhub.website,2088,c9dbeda9-cdb3-4c1c-aeb4-cfa86d3e49f9,2069,ok,
1993,swaprivoire-official.com,2089,7a3ab5d8-6cbf-4c28-9eee-a622d6c7462e,2070,ok,
1981,luberonskalmesse.site,2090,0e5ee285-d5c7-48e2-a887-1dee01847c42,2071,ok,
1970,likiditekur.site,2091,036c53bb-2bb7-42ec-bb09-b1e8ce8e3da9,2072,ok,
1969,boostaxid2u.app,2092,fa4151e1-973b-479b-903a-220ec7279d60,2073,ok,
1953,immediateinvex.com,2093,51379b76-749b-4ce3-a3df-345141ad2281,2074,ok,
1952,oxlyrai.site,2094,cac244e3-8dbd-4051-984e-805af0e6efe1,2075,ok,
1949,norte-fondanza.com,2095,a5dec732-811f-420d-aa9d-b267ef05977e,2076,ok,
1947,vyplatatrznikov.site,2096,ed3cfa42-f311-4b39-a1ac-1616312bc5cb,2077,ok,
1945,bleskvynosica-de.com,2097,359385f2-07ef-4aa4-8545-822e96777704,2078,ok,
1944,vyplatatrznikov.de,2098,d2e86358-51f5-4c68-a57b-a4c54b7943a0,2079,ok,
1939,swap-400manerix.com,2099,b9c98c81-65a6-4a73-8a66-02577f8ee5a9,2080,ok,
1938,larg-profitarian-official.com,2100,067cabe2-2037-4a3d-970a-8c4785052170,2081,ok,
1914,devisal-moneta.com,2101,60f8e28d-10e5-43f2-9600-832e131057c1,2082,ok,
1895,cumbre-valterise-official.com,2102,3596983e-a41c-494e-85de-9d23d059fdf5,2083,ok,
1888,aureon-corevix.com,2103,451ac247-5f10-4fc4-af36-576368672b52,2084,ok,
1887,service-public-fr.com,2104,5336b867-a92a-45eb-a251-cfe9ba5e9ca0,2085,ok,
1883,havan-lucro.com,2105,0f4a97e3-2f69-4556-bc4c-fa3ca67175fe,2086,ok,
1867,altario-veyron.info,2106,19568e5c-5f73-41e4-8655-883ee1cb6f73,2087,ok,
1866,coroa-rendoria.com,2107,c92664c6-848d-4f52-b9b5-35dadbdcae28,2088,ok,
1865,syntrade-ai.com,2108,8ab558dc-3ee0-4d53-8c78-15c0ea579c5e,2089,ok,
1108,algo-2-u-axid.online,2165,2b052899-2e4a-4702-bb85-be9feb6c44b7,2186,ok,
2117,noble-trustica.com,2175,c766e350-7ce5-4b44-a5ce-35ab75482b07,2207,ok,
2147,rocca-fondezza-it.com,2206,18840ecc-b6fc-4265-954f-00c0f80637c9,2273,ok,
2148,zenit-fondivo-it.com,2208,55e81d50-7b88-4159-855e-0e0a842b6ab8,2275,ok,
2149,cevora-qunta.com,2217,be2d643a-3b9f-463a-899d-faa745f810a2,2284,ok,
2,klopirakon-ro.com,2228,2b01308c-abf1-4dd3-9c03-9176951cc1c5,2295,ok,
3,puramonetorio.com,2229,5ff2c4e9-b234-4b5e-bba0-98c556b4b046,2296,ok,
4,ziskovex-cz.com,2230,3c5c1df6-367b-468a-b20b-a2c27dd3af4b,2297,ok,
5,zywa-kapovin.org,2231,80e1fc0a-3bd0-4756-9366-0a67d1660d99,2298,ok,
6,caudencia.org,2232,e911f22c-6a00-4ad6-a2ee-b8ee9f4a4eab,2299,ok,
7,chiara-fondenza.org,2233,b5f2aafa-ea51-4fb6-82aa-0960eff391ad,2300,ok,
8,gronexzolo-de.com,2234,e6bf8458-c9e7-4927-9854-fca8dde277bb,2301,ok,
9,portefeuille-vexo-fr.com,2235,e0b3a792-334f-4010-a0b5-fb8886d92af2,2302,ok,
10,czubek-finoriax.org,2236,0e87e3ef-b6f8-46fc-8c64-89490fc33969,2303,ok,
11,cennostow.org,2237,90b39eb9-fcfc-414d-9c9d-7e2010d97c65,2304,ok,
12,akaudalorio.org,2238,2d1b7047-9a3b-4e5a-a651-b4ba7dd99351,2305,ok,
13,pike-vaultwick.org,2239,fcad69f1-3043-4b9d-b510-25d98e723af9,2306,ok,
14,phlint-kapstead.org,2240,88be19a0-2c64-4c15-ac89-eb3d27f1707e,2307,ok,
15,flint-capstead.org,2241,7cbacfa1-06c0-41b0-b4cd-0ac8ca181ce7,2308,ok,
16,thorncapstead.com,2242,414dff82-78ca-4dec-aa1d-44c6691a8b3e,2309,ok,
17,cairnfundholm.com,2243,fc3b55f3-0576-4d43-b2f3-64a4caef7c60,2310,ok,
18,cairnphundholm.com,2244,8154c06b-e865-4451-b2f5-bb29ffc95891,2311,ok,
19,rendaurmence.com,2245,b0480fc9-a7b7-470c-896b-0fc68c71c829,2312,ok,
20,kralfinexis-de.com,2246,c1bdf1f2-a014-4afb-bebf-f6f00f3489bf,2313,ok,
21,justedevisoire.com,2247,cb286498-5dc6-4d79-a5e1-071680967b13,2314,ok,
22,acaudalorio-es.com,2248,96576543-b247-4627-b094-70d39d10ccc5,2315,ok,
23,hvezda-credano.org,2249,db285521-ba49-4ce6-9f10-2579bea3dc25,2316,ok,
24,alta-peculianza.org,2250,3277fad8-2be2-4f2b-a207-207747febabf,2317,ok,
25,bogatovfondanta.com,2251,4c9ffb52-bcd6-40ab-8d36-facd8bdaaf76,2318,ok,
26,zivan-core.com,2252,6cbc128f-1ee3-4b23-8b85-823f799d8dad,2319,ok,
27,stejar-monetiv.org,2253,602c0023-4b9d-4a47-acf1-eec9561d7b1d,2320,ok,
28,regia-caudencia.org,2254,0e5e19c0-a52b-42f0-a0af-a899f1ba1578,2321,ok,
29,valle-profitra.net,2255,f3e90b9b-4f18-46fc-a6b7-1bf21783f56c,2322,ok,
30,valle-profitra.org,2256,7f33c323-f0ae-4ddb-b1d6-b36f96e591ef,2323,ok,
31,kronyx-fin.org,2257,482c2505-5129-4034-9ccb-6ffe868883b8,2324,ok,
32,nextgen-algo.net,2258,f7ff6924-4de2-4270-892d-72f9b5c4c158,2325,ok,
33,flux-gainluxor.org,2259,8308ff85-f59f-4b1e-b702-04acd5c5e241,2326,ok,
34,lucro-zynal.org,2260,2604958e-3e92-4bda-b6c2-9f245260d035,2327,ok,
35,vize-vexeris.org,2261,30f7387b-58d0-49fd-ae0e-921cc1e4e412,2328,ok,
36,snap-aloxi-600.org,2262,e96bd4b1-d6eb-463c-a23a-3f482934a0d7,2329,ok,
